iteration,coefname,beta,se,z,p
1,(Intercept),2248.00453155263,84.8585329583377,26.491201923751312,1.2240814322131395e-154
1,load: yes,48.92122443424129,15.822519429974983,3.0918732412211445,0.0019889776228250787
1,prec: maintain,-320.6319876978084,45.48975901212757,-7.048443312533881,1.809304300853836e-12
1,spkr: old,62.87713271178907,15.822541643087707,3.973895858839961,7.070648819335171e-5
2,(Intercept),2165.3628217937458,79.80835930736228,27.132030285879992,4.126341564091625e-162
2,load: yes,91.93121617718514,16.206573449785438,5.672464723158505,1.4075751219727587e-8
2,prec: maintain,-353.0789315427863,37.44270029228344,-9.429846907049924,4.106879500080576e-21
2,spkr: old,46.54195396429353,16.206597448190646,2.87179058485775,0.004081533412107379
3,(Intercept),2333.3954353087283,81.09225492517,28.774578256110033,4.463004648052828e-182
3,load: yes,88.37617146863678,15.609214514652463,5.661794921562359,1.497977832102775e-8
3,prec: maintain,-467.19793402840145,47.40770005730577,-9.854895585815365,6.528451527089653e-23
3,spkr: old,52.445696288351506,15.609235861542054,3.359914396422628,0.0007796662650978165
4,(Intercept),2246.8014653484615,85.56629378788206,26.258020137207982,5.7887443852961554e-152
4,load: yes,106.46442548931944,16.091237386179895,6.616298233270573,3.683049765183387e-11
4,prec: maintain,-361.22020475689214,56.55865337245211,-6.386647899450003,1.695614374260277e-10
4,spkr: old,42.327474203678676,16.09125883696143,2.6304638209195277,0.008526844491865304
5,(Intercept),2181.558071957226,81.27670804847905,26.841122436405687,1.070802257745664e-158
5,load: yes,81.27980438325308,15.849546506784646,5.128210094115941,2.9250990539959064e-7
5,prec: maintain,-380.5406018397538,53.51514398061243,-7.11089559952631,1.1529232999822606e-12
5,spkr: old,88.38934980605644,15.84956775289275,5.576767214356635,2.4502940829159254e-8
6,(Intercept),2119.2981339005732,83.88459538124404,25.264449619964815,7.858066742534319e-141
6,load: yes,107.50690451255026,16.23355258916655,6.6225124735971175,3.5314424945928445e-11
6,prec: maintain,-300.32654380243406,45.509822812351956,-6.599158714389051,4.1349745895640206e-11
6,spkr: old,42.44585982761974,16.233574220124787,2.6146958921097947,0.008930693198833802
7,(Intercept),2200.2516203477944,77.74718117517321,28.30008222922421,3.447841846888308e-176
7,load: yes,74.51743213442136,16.241135109962396,4.58819113503415,4.4710319345980324e-6
7,prec: maintain,-283.04241737545664,50.02816522100804,-5.657661361856227,1.534495241446525e-8
7,spkr: old,87.41306170064604,16.24115663042479,5.382194365202655,7.358324777549577e-8
8,(Intercept),2048.6986862290523,75.7318848381363,27.05199653498376,3.618384684159675e-161
8,load: yes,71.51595640951005,16.026615395414566,4.462324367624854,8.107537399705144e-6
8,prec: maintain,-241.89385953761206,50.18023196519883,-4.8205010232987995,1.4319812222434386e-6
8,spkr: old,47.534838260951815,16.02663631455951,2.9659897016424126,0.003017105922003162
9,(Intercept),2204.085801638318,83.60211242431443,26.363996527404645,3.5471289502373516e-153
9,load: yes,87.54490637789877,16.14929157676783,5.420975029260093,5.927484036410071e-8
9,prec: maintain,-324.5264410510475,45.153308219580644,-7.187212938482263,6.612723850101898e-13
9,spkr: old,59.96330663965886,16.14931433013823,3.7130558866981698,0.0002047716461905581
10,(Intercept),2209.740764065591,77.48460709740067,28.51844833242653,6.918615393381052e-179
10,load: yes,62.668503472140024,16.4722782765105,3.80448304843814,0.00014210064239480904
10,prec: maintain,-304.74774959535773,56.733698352008204,-5.3715473950689585,7.806384414975383e-8
10,spkr: old,63.46771551903134,16.472298541020315,3.8529969184919874,0.00011668085947345375
11,(Intercept),2127.3942667954607,79.14464588987128,26.879825449667198,3.7809489781954105e-159
11,load: yes,55.81490594971851,16.027249810531174,3.4825005293823827,0.0004967542385909266
11,prec: maintain,-231.5303642909056,41.11370017874049,-5.631465017362456,1.7868522320553914e-8
11,spkr: old,31.125191639995737,16.027272286572508,1.9420142793775406,0.05213537166517064
12,(Intercept),2242.8214233992703,70.62585939316709,31.756377092896074,2.5926705634994662e-221
12,load: yes,63.20762947814544,16.099130952298115,3.926151645416779,8.631574914930814e-5
12,prec: maintain,-332.6834631670154,35.54522893292195,-9.359440722546152,8.015986883730891e-21
12,spkr: old,93.9429838200819,16.09915551844301,5.835274012507171,5.370223830382831e-9
